name,countryId,geoRegionId,cityId,townId,districtId,quarterId,districtName,updated,type,id
Umurbey Mah.,1,0,16,191,917,10270,Emirsultan,1.62276E+12,Quarter,10270
Yenimahalle Mh.,1,0,16,191,917,10271,Emirsultan,1.62276E+12,Quarter,10271
Yeşil Mh.,1,0,16,191,917,10272,Emirsultan,1.62276E+12,Quarter,10272
Hamamlıkızık Mh.,1,0,16,191,918,10273,Köyler,1.62276E+12,Quarter,10273
Cumalıkızık Mh.,1,0,16,191,918,10274,Köyler,1.62276E+12,Quarter,10274
Cumhuriyet Mah.,1,0,16,192,919,10275,Büyükorhan,1.62276E+12,Quarter,10275
Orhan Mah.,1,0,16,192,919,10276,Büyükorhan,1.62276E+12,Quarter,10276
Hocahasan Mh.,1,0,16,192,919,10277,Büyükorhan,1.62276E+12,Quarter,10277
Armutçuk Mh.,1,0,16,192,919,10278,Büyükorhan,1.62276E+12,Quarter,10278
İsmetiye Mh.,1,0,16,192,919,10279,Büyükorhan,1.62276E+12,Quarter,10279
Akdurak Köyü,1,6,2,17,122,1027,Çakırhüyük,1.61192E+12,Quarter,1027
Akçasaz Mh.,1,0,16,192,920,10280,Köyler,1.62276E+12,Quarter,10280
