"";"city_id";"town_id";"city_town";"district_neighborhood";"neighborhood_id";"subdivisions"
"521";31;387;"31 - Reyhanli";"387 - CUDEYDE MH.";20983;NA
"522";31;387;"31 - Reyhanli";"387 - AKYAYLA MH.";21023;NA
"523";31;387;"31 - Reyhanli";"387 - GOKTEPE MH.";21031;NA
"524";31;387;"31 - Reyhanli";"387 - PASAHUYUK MH.";21014;NA
"525";31;387;"31 - Reyhanli";"387 - AHMETBEYLI MH.";21022;NA
"526";31;387;"31 - Reyhanli";"387 - HARRAN MH.";21035;NA
"527";31;387;"31 - Reyhanli";"387 - GAZIMURSELTEPESI MH.";21030;NA
"528";31;387;"31 - Reyhanli";"387 - ALAKUZU MH.";21024;NA
"529";31;387;"31 - Reyhanli";"387 - KARASULEYMANLI MH.";21034;NA
"530";31;389;"31 - Yayladagi";"389 - KURTULUS MH.";21097;NA
"531";31;389;"31 - Yayladagi";"389 - TUTLUBAHCE MH.";21098;NA
"532";76;925;"76 - Aralik";"925 - EMINCE KOYU";49813;"TİGEM MEVKİİ"
"533";32;390;"32 - Isparta Merkez";"390 - BAHCELIEVLER MH.";21163;NA
"534";32;390;"32 - Isparta Merkez";"390 - BAGLAR MH.";21150;NA
"535";32;390;"32 - Isparta Merkez";"390 - PIRIMEHMET MH.";21148;NA
"536";32;396;"32 - Keciborlu";"396 - ASAGI MH.";21329;NA
"537";34;429;"34 - Avcilar";"429 - DENIZKOSKLER MH.";51425;NA
"538";34;429;"34 - Avcilar";"429 - MERKEZ MH.";22814;NA
"539";34;429;"34 - Avcilar";"429 - GUMUSPALA MH.";22818;NA
"540";34;431;"34 - Bahcelievler";"431 - SIRINEVLER MH.";22838;NA
"541";34;434;"34 - Basaksehir";"434 - IKITELLI OSB MH.";60688;NA
"542";34;434;"34 - Basaksehir";"434 - ZIYA GOKALP MH.";22887;NA
"543";34;418;"34 - Besiktas";"418 - YILDIZ MH.";22457;NA
"544";34;435;"34 - Beylikduzu";"435 - BEYLIKDUZUOSB MH.";54944;NA
"545";34;419;"34 - Beyoglu";"419 - KOCATEPE  MH.";22492;NA
"546";34;419;"34 - Beyoglu";"419 - SEHIT MUHTAR  MH.";22489;NA
"547";34;419;"34 - Beyoglu";"419 - BULBUL  MH.";22483;NA
"548";34;419;"34 - Beyoglu";"419 - CUKUR  MH.";22484;NA
"549";34;419;"34 - Beyoglu";"419 - KAMER HATUN  MH.";22487;NA
"550";34;419;"34 - Beyoglu";"419 - KALYONCU KULLUGU MH.";22486;NA
"551";34;419;"34 - Beyoglu";"419 - YENISEHIR  MH.";51884;NA
"552";34;419;"34 - Beyoglu";"419 - KATIPMUSTAFA CELEBI MH.";22478;NA
